City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Severo-Kurilsk,RU,50.6789,156.125,28.76,70,90,26.51,overcast clouds
1,Vanimo,PG,-2.6741,141.3028,76.95,92,100,9.75,overcast clouds
2,Harper,LR,4.375,-7.7169,79.95,80,48,4.43,scattered clouds
3,Iqaluit,CA,63.7506,-68.5145,-9.56,97,46,3.38,scattered clouds
4,Ostrovnoy,RU,68.0531,39.5131,16.75,94,100,5.44,light snow
5,Chumikan,RU,54.7183,135.315,-14.44,92,100,18.43,overcast clouds
6,Kapaa,US,22.0752,-159.319,78.78,73,90,4.0,light rain
7,Rikitea,PF,-23.1203,-134.9692,77.68,73,100,7.18,overcast clouds
8,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,82,40,30.0,scattered clouds
9,Busselton,AU,-33.65,115.3333,83.05,41,54,3.53,broken clouds
10,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,63,0,14.97,clear sky
11,Airai,TL,-8.9266,125.4092,67.68,76,100,1.28,overcast clouds
12,Zalantun,CN,48.0,122.7167,-7.82,70,9,6.08,clear sky
13,Klaksvik,FO,62.2266,-6.589,32.92,67,85,20.85,overcast clouds
14,Hobart,AU,-42.8794,147.3294,75.02,43,75,1.99,broken clouds
15,Tura,IN,25.5198,90.2201,60.08,70,1,1.83,clear sky
16,Barrow,US,71.2906,-156.7887,-5.78,77,90,13.8,overcast clouds
17,Ribeira Grande,PT,38.5167,-28.7,60.48,80,22,37.29,few clouds
18,Bethel,US,41.3712,-73.414,34.36,57,75,1.99,broken clouds
19,Cape Town,ZA,-33.9258,18.4232,68.11,82,0,4.0,clear sky
20,Songjianghe,CN,42.1859,127.479,12.47,70,100,3.33,overcast clouds
21,Kudahuvadhoo,MV,2.6708,72.8944,82.09,70,82,9.28,broken clouds
22,Punta Arenas,CL,-53.15,-70.9167,57.31,51,40,17.27,scattered clouds
23,Yellowknife,CA,62.456,-114.3525,-19.59,85,75,4.61,mist
24,Upernavik,GL,72.7868,-56.1549,21.67,68,41,4.97,scattered clouds
25,Torbay,CA,47.6666,-52.7314,30.58,83,75,12.66,broken clouds
26,Arman,RU,59.7,150.1667,-0.94,78,100,14.38,overcast clouds
27,Beloha,MG,-25.1667,45.05,68.45,92,99,4.88,overcast clouds
28,Vardo,NO,70.3705,31.1107,22.33,75,100,13.82,snow
29,Bambous Virieux,MU,-20.3428,57.7575,78.22,94,75,8.05,broken clouds
30,Sabang,ID,5.8933,95.3214,80.24,67,99,6.33,overcast clouds
31,Port Alfred,ZA,-33.5906,26.891,65.82,87,88,9.46,light rain
32,Sept-Iles,CA,50.2001,-66.3821,19.83,84,90,5.99,snow
33,Tamandare,BR,-8.7597,-35.1047,78.37,84,80,7.31,broken clouds
34,Halifax,CA,44.6453,-63.5724,39.22,95,100,4.0,overcast clouds
35,San Patricio,US,28.017,-97.5169,68.09,84,0,8.41,clear sky
36,Tabou,CI,4.423,-7.3528,79.97,81,43,3.85,scattered clouds
37,Kaitangata,NZ,-46.2817,169.8464,64.92,43,89,9.51,overcast clouds
38,Sao Filipe,CV,14.8961,-24.4956,74.44,72,0,9.91,clear sky
39,Khatanga,RU,71.9667,102.5,-36.76,98,17,4.34,few clouds
40,Faya,SA,18.3851,42.4509,52.32,62,0,4.88,clear sky
41,Longyearbyen,SJ,78.2186,15.6401,6.64,61,0,11.5,clear sky
42,Nikolskoye,RU,59.7035,30.7861,14.81,95,100,6.42,overcast clouds
43,Yar-Sale,RU,66.8333,70.8333,23.65,96,100,15.5,light snow
44,Atuona,PF,-9.8,-139.0333,78.87,76,34,19.82,scattered clouds
45,Vestmannaeyjar,IS,63.4427,-20.2734,33.6,70,18,15.17,few clouds
46,Nanortalik,GL,60.1432,-45.2371,36.14,72,100,11.14,overcast clouds
47,New Norfolk,AU,-42.7826,147.0587,74.66,28,18,3.0,few clouds
48,Mataura,NZ,-46.1927,168.8643,61.48,47,100,8.39,overcast clouds
49,Bluff,NZ,-46.6,168.3333,61.81,63,13,24.14,few clouds
50,Ambulu,ID,-8.345,113.6058,84.7,74,68,2.24,broken clouds
51,Thompson,CA,55.7435,-97.8558,-32.64,75,1,0.0,clear sky
52,Visnes,NO,59.3556,5.2242,40.57,87,90,12.66,overcast clouds
53,Hermanus,ZA,-34.4187,19.2345,67.89,85,100,13.18,overcast clouds
54,Tiksi,RU,71.6872,128.8694,-13.95,97,100,7.61,overcast clouds
55,Jamestown,US,42.097,-79.2353,26.71,90,90,8.01,light snow
56,Shelburne,CA,44.0787,-80.2041,23.45,91,87,8.21,light snow
57,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,78,90,29.93,light snow
58,Zharkent,KZ,44.1628,80.0,30.63,59,84,2.73,broken clouds
59,Karratha,AU,-20.7377,116.8463,98.28,16,0,7.56,light rain
60,Kyotera,UG,-0.6156,31.5175,65.01,91,93,0.96,light rain
61,Mashhad,IR,36.297,59.6062,35.74,60,0,4.61,clear sky
62,Aasiaat,GL,68.7098,-52.8699,16.52,91,51,2.35,broken clouds
63,Richards Bay,ZA,-28.783,32.0377,68.5,93,89,3.18,overcast clouds
64,Asau,RO,46.4333,26.4,22.12,92,15,4.68,few clouds
65,Albany,US,42.6001,-73.9662,32.09,63,64,1.01,light snow
66,Tasiilaq,GL,65.6145,-37.6368,23.16,52,0,5.79,clear sky
67,Guarapari,BR,-20.6667,-40.4975,78.69,96,92,7.05,moderate rain
68,Shirokiy,RU,49.758,129.523,-24.83,90,85,5.64,overcast clouds
69,Kangaatsiaq,GL,68.3065,-53.4641,24.4,94,78,3.74,broken clouds
70,Avarua,CK,-21.2078,-159.775,75.25,94,75,8.05,moderate rain
71,Saint-Philippe,RE,-21.3585,55.7679,76.59,86,86,10.29,overcast clouds
72,Ushuaia,AR,-54.8,-68.3,55.06,44,20,21.85,few clouds
73,Nageshwari,BD,25.9377,89.7148,61.99,64,4,5.3,clear sky
74,Port Elizabeth,ZA,-33.918,25.5701,64.09,94,40,6.91,light rain
75,Prestea,GH,5.4327,-2.1428,73.22,86,87,0.27,overcast clouds
76,Ust-Nera,RU,64.5667,143.2,-43.22,96,75,2.51,broken clouds
77,Tulum,MX,20.2167,-87.4667,73.92,73,0,6.04,clear sky
78,La Ronge,CA,55.1001,-105.2842,-0.15,78,90,9.22,light snow
79,Bredasdorp,ZA,-34.5322,20.0403,65.52,82,100,11.5,light rain
80,Ak-Dovurak,RU,51.1833,90.6,-4.45,96,98,0.85,overcast clouds
81,Hasaki,JP,35.7333,140.8333,48.6,43,1,9.33,clear sky
82,East London,ZA,-33.0153,27.9116,66.49,87,76,7.11,light rain
83,Puerto Ayora,EC,-0.7393,-90.3518,69.78,91,98,6.24,overcast clouds
84,Birjand,IR,32.8663,59.2211,25.27,58,0,6.91,clear sky
85,Mitsamiouli,KM,-11.3847,43.2844,81.0,76,50,6.51,scattered clouds
86,Talcahuano,CL,-36.7167,-73.1167,56.88,88,90,12.66,overcast clouds
87,Mandalgovi,MN,45.7625,106.2708,3.85,53,6,9.22,clear sky
88,Talnakh,RU,69.4865,88.3972,7.21,95,100,18.03,snow
89,Iwanai,JP,42.9744,140.5089,27.01,70,100,14.56,light snow
90,Bowen,AU,-20.0167,148.2333,93.42,58,0,8.75,clear sky
91,Haines Junction,CA,60.7522,-137.5108,-29.25,68,85,2.3,overcast clouds
92,Sur,OM,22.5667,59.5289,71.85,48,40,0.72,scattered clouds
93,Inhambane,MZ,-23.865,35.3833,74.5,81,100,10.89,overcast clouds
94,Talara,PE,-4.5772,-81.2719,68.45,87,91,2.71,overcast clouds
95,Rocha,UY,-34.4833,-54.3333,59.58,92,0,2.1,clear sky
96,Ayame,CI,5.6083,-3.1563,74.88,95,41,1.95,scattered clouds
97,Buraydah,SA,26.326,43.975,52.25,22,92,6.98,overcast clouds
98,Saint-Leu,RE,-21.15,55.2833,76.06,85,100,11.41,overcast clouds
99,Arraial Do Cabo,BR,-22.9661,-42.0278,74.91,94,100,7.85,overcast clouds
100,Taoudenni,ML,22.6783,-3.9836,67.89,28,100,11.05,overcast clouds
101,San Quintin,MX,30.4833,-115.95,60.08,77,100,5.46,overcast clouds
102,Kitovo,RU,56.8659,41.2825,-9.83,99,86,5.28,overcast clouds
103,Mount Isa,AU,-20.7333,139.5,101.97,17,0,8.05,clear sky
104,Matata,NZ,-37.8833,176.75,83.34,54,100,7.65,overcast clouds
105,Bengkulu,ID,-3.8004,102.2655,78.46,83,95,8.01,overcast clouds
106,Saint-Louis,SN,16.3333,-15.0,74.53,22,77,9.57,broken clouds
107,Vaini,TO,-21.2,-175.2,87.96,55,40,9.22,scattered clouds
108,Miguel Calmon,BR,-11.4289,-40.595,68.41,92,70,1.21,broken clouds
109,Qaanaaq,GL,77.484,-69.3632,24.94,59,100,13.53,overcast clouds
110,Elizabeth City,US,36.2946,-76.2511,46.02,92,1,0.0,clear sky
111,Soddy-Daisy,US,35.2359,-85.1908,39.24,64,0,3.36,clear sky
112,Beidao,CN,34.5686,105.8933,40.44,56,100,1.41,overcast clouds
113,Pedra Azul,BR,-16.0053,-41.2972,66.6,98,100,2.86,light rain
114,Severnyy,RU,50.677,36.5532,1.44,85,75,6.71,broken clouds
115,Castro,BR,-24.7911,-50.0119,61.66,94,100,2.95,overcast clouds
116,Cherskiy,RU,68.75,161.3,-24.93,99,100,2.8,overcast clouds
117,Butaritari,KI,3.0707,172.7902,81.14,76,98,5.64,overcast clouds
118,Chuy,UY,-33.6971,-53.4616,63.77,80,0,7.18,clear sky
119,Kavieng,PG,-2.5744,150.7967,84.29,76,100,6.82,light rain
120,Pemangkat,ID,1.1667,108.9667,82.38,75,16,5.66,few clouds
121,General Pico,AR,-35.6566,-63.7568,72.19,41,0,4.85,clear sky
122,Lagoa,PT,39.05,-27.9833,58.53,82,60,44.67,broken clouds
123,Lusambo,CD,-4.9667,23.45,69.76,100,100,1.23,moderate rain
124,Obando,PH,14.7167,120.9333,85.19,74,88,11.01,overcast clouds
125,Kendari,ID,-3.945,122.4989,86.11,66,100,2.62,moderate rain
126,Melito Di Porto Salvo,IT,37.9222,15.7714,53.15,81,75,4.61,broken clouds
127,Grindavik,IS,63.8424,-22.4338,31.95,74,0,6.91,clear sky
128,Clyde River,CA,70.4692,-68.5914,14.23,73,77,24.16,light snow
129,Mezen,RU,65.8522,44.24,7.84,97,100,5.93,overcast clouds
130,Bloomingdale,US,27.8936,-82.2404,60.85,90,1,0.0,clear sky
131,Saint George,US,37.1041,-113.5841,51.35,56,1,1.99,clear sky
132,Ocos,GT,14.5094,-92.1933,80.31,72,6,1.43,clear sky
133,Chokurdakh,RU,70.6333,147.9167,-21.37,98,100,5.68,overcast clouds
134,Lake Havasu City,US,34.4839,-114.3224,60.1,32,1,1.01,clear sky
135,Isetskoye,RU,56.4858,65.3226,0.43,94,6,8.19,clear sky
136,Te Anau,NZ,-45.4167,167.7167,61.0,46,64,7.09,broken clouds
137,Agadir,MA,30.4202,-9.5982,55.85,66,3,3.91,clear sky
138,Acopiara,BR,-6.0953,-39.4525,79.83,63,100,8.55,overcast clouds
139,Leningradskiy,RU,69.3833,178.4167,-16.91,98,100,8.46,overcast clouds
140,Marfino,RU,55.7028,37.3822,4.95,81,75,8.95,light snow
141,Guerrero Negro,MX,27.9769,-114.0611,62.76,75,100,9.17,overcast clouds
142,Santiago Del Estero,AR,-27.7951,-64.2615,72.81,56,20,9.86,few clouds
143,Rapid City,US,44.0805,-103.231,49.26,38,75,1.01,broken clouds
144,Huarmey,PE,-10.0681,-78.1522,69.24,84,84,5.5,broken clouds
145,Taltal,CL,-25.4,-70.4833,66.34,77,94,1.32,overcast clouds
146,Japura,ID,-0.3167,102.35,78.42,89,97,2.13,moderate rain
147,Faanui,PF,-16.4833,-151.75,82.09,71,100,10.04,light rain
148,Fairbanks,US,64.8378,-147.7164,1.24,81,20,6.91,few clouds
149,Satellite Beach,US,28.1761,-80.5901,59.02,85,1,1.01,clear sky
150,Lebu,CL,-37.6167,-73.65,56.39,94,26,13.13,scattered clouds
151,Sobolevo,RU,54.4299,31.8996,7.07,97,93,7.07,overcast clouds
152,Provideniya,RU,64.3833,-173.3,5.36,85,90,26.84,light snow
153,Pacific Grove,US,36.6177,-121.9166,59.67,91,100,3.0,overcast clouds
154,Trelew,AR,-43.249,-65.3051,65.39,63,0,16.8,clear sky
155,Geraldton,AU,-28.7667,114.6,86.41,42,6,9.22,clear sky
156,Ous,RU,60.9058,61.5186,-9.96,96,78,4.05,broken clouds
157,Susangerd,IR,31.5608,48.1831,54.68,57,0,8.46,clear sky
158,Mercedes,AR,-34.6515,-59.4307,77.18,60,36,6.22,scattered clouds
159,Iquitos,PE,-3.7481,-73.2472,77.04,88,90,2.3,heavy intensity rain
160,Wad Madani,SD,14.4012,33.5199,69.3,20,92,14.45,overcast clouds
161,Columbus,US,39.9612,-82.9988,26.71,77,20,6.91,few clouds
162,Sistranda,NO,63.7256,8.834,32.9,71,90,7.52,overcast clouds
163,Lompoc,US,34.6391,-120.4579,58.12,91,90,0.0,light rain
164,Puerto Colombia,CO,10.9878,-74.9547,78.89,85,90,8.55,overcast clouds
165,Lavrentiya,RU,65.5833,-171.0,-2.42,96,100,12.93,light snow
166,Male,MV,4.1748,73.5089,82.35,78,20,10.36,haze
167,Raga,SS,8.4596,25.678,71.53,21,97,7.74,overcast clouds
168,Hithadhoo,MV,-0.6,73.0833,81.12,73,74,3.44,broken clouds
169,Gravdal,NO,68.1214,13.5031,32.07,82,92,25.93,light snow
170,Buchanan,LR,5.8808,-10.0467,78.19,83,29,1.54,scattered clouds
171,Port Hedland,AU,-20.3167,118.5667,91.45,66,0,14.97,clear sky
172,Kidal,ML,18.4411,1.4078,65.32,12,100,10.94,overcast clouds
173,Kodiak,US,57.79,-152.4072,47.71,66,90,9.22,overcast clouds
174,Betsiamites,CA,48.9413,-68.646,26.69,95,100,11.23,light snow
175,Cabo Rojo,PR,18.0866,-67.1457,77.22,85,58,7.52,broken clouds
176,Sidi Ali,DZ,36.0998,0.4206,54.39,85,57,3.38,broken clouds
177,Camrose,CA,53.0168,-112.8353,17.33,87,100,8.68,overcast clouds
178,Manbij,SY,36.5281,37.9549,38.17,52,98,9.55,overcast clouds
179,Olinda,BR,-8.0089,-34.8553,82.13,78,40,5.75,scattered clouds
180,Atbasar,KZ,51.8,68.3333,17.22,97,100,4.23,overcast clouds
181,Esperance,AU,-33.8667,121.9,76.84,57,44,12.46,scattered clouds
182,Saskylakh,RU,71.9167,114.0833,-31.68,100,31,3.69,scattered clouds
183,Birao,CF,10.2849,22.7882,70.38,18,35,9.91,scattered clouds
184,Yaan,NG,7.3833,8.5667,78.28,27,78,4.52,broken clouds
185,Mahebourg,MU,-20.4081,57.7,78.26,94,75,8.05,broken clouds
186,Meulaboh,ID,4.1363,96.1285,80.71,75,99,2.42,overcast clouds
187,Corinto,GR,37.9407,22.9573,49.89,80,100,5.01,overcast clouds
188,Salym,RU,60.0625,71.4789,23.38,92,100,11.61,overcast clouds
189,Khrebtovaya,RU,56.7032,104.2494,-26.63,94,6,2.53,clear sky
190,Cabo San Lucas,MX,22.8909,-109.9124,73.51,60,1,3.44,clear sky
191,Havelock,US,34.8791,-76.9013,46.92,87,1,0.0,clear sky
192,Mocuba,MZ,-16.8392,36.9856,72.93,90,95,3.24,overcast clouds
193,Luderitz,NA,-26.6481,15.1594,59.5,86,6,3.11,clear sky
194,Kuna,US,43.4918,-116.4201,43.2,79,1,3.0,clear sky
195,Hadejia,NG,12.4498,10.0444,63.01,22,68,9.98,broken clouds
196,Hilo,US,19.7297,-155.09,72.28,43,90,0.0,light rain
197,Port Hawkesbury,CA,45.6169,-61.3485,39.15,98,90,13.0,mist
198,Ler,SS,8.3018,30.1418,76.59,31,41,9.4,scattered clouds
199,Hamilton,US,39.1834,-84.5333,29.93,67,1,0.0,clear sky
200,Benguela,AO,-12.5763,13.4055,72.97,78,90,2.55,overcast clouds
201,Dikson,RU,73.5069,80.5464,1.65,82,100,18.7,overcast clouds
202,Lucapa,AO,-8.4192,20.7447,65.25,98,100,3.04,overcast clouds
203,Norman Wells,CA,65.282,-126.8329,-7.56,77,75,3.44,light snow
204,Krasnoselkup,RU,65.7,82.4667,7.36,87,100,25.61,overcast clouds
205,Alice Springs,AU,-23.7,133.8833,92.75,29,94,6.91,overcast clouds
206,Saldanha,ZA,-33.0117,17.9442,64.45,95,41,7.4,scattered clouds
207,Djenne,ML,13.9061,-4.5533,71.6,14,100,8.5,overcast clouds
208,Apiai,BR,-24.5094,-48.8425,60.96,100,100,1.5,overcast clouds
209,Shimoda,JP,34.6667,138.95,55.51,61,93,10.58,overcast clouds
210,Guilin,CN,25.2819,110.2864,53.71,49,0,1.03,clear sky
211,Rzhaksa,RU,52.1338,42.0264,-8.3,99,67,7.05,broken clouds
212,Saint-Augustin,CA,51.226,-58.6502,18.23,78,100,18.86,overcast clouds
213,Rock Springs,US,41.5875,-109.2029,31.44,40,20,9.22,few clouds
214,Leigh,GB,53.4833,-2.5167,43.23,94,100,4.0,overcast clouds
215,Deputatskiy,RU,69.3,139.9,-22.72,96,99,5.32,overcast clouds
216,Ayan,RU,56.45,138.1667,-17.72,69,28,13.29,scattered clouds
217,Kaspiysk,RU,42.8816,47.6392,24.98,62,20,0.0,few clouds
218,Makushino,RU,55.2103,67.2442,1.72,95,87,6.46,overcast clouds
219,Hofn,IS,64.2539,-15.2082,33.98,69,100,19.42,overcast clouds
220,Pilar,BR,-9.5972,-35.9567,78.73,84,98,6.22,overcast clouds
221,Ust-Uda,RU,54.1742,103.0304,-19.08,91,6,1.79,clear sky
222,Palana,RU,59.1167,159.9667,6.21,82,100,15.55,overcast clouds
223,Sayyan,YE,15.1718,44.3244,46.81,37,4,1.52,clear sky
224,Moose Factory,CA,51.2585,-80.6094,-11.2,77,1,9.22,clear sky
225,Pinerolo,IT,44.8833,7.35,39.96,77,100,1.01,overcast clouds
226,Veraval,IN,20.9,70.3667,68.18,75,0,5.26,clear sky
